"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0036038",1,1,1,1,"MKS complex","CC",1
"GO:0036056",1,1,1,1,"filtration diaphragm","CC",1
"GO:0036057",1,1,1,1,"slit diaphragm","CC",1
"GO:0036064",1,1,5,5,"ciliary basal body","CC",1
"GO:0036126",1,1,3,3,"sperm flagellum","CC",1
"GO:0036157",1,1,1,1,"outer dynein arm","CC",1
"GO:0036396",1,1,1,1,"RNA N6-methyladenosine methyltransferase complex","CC",1
"GO:0036452",1,1,2,2,"ESCRT complex","CC",1
"GO:0036464",1,1,9,9,"cytoplasmic ribonucleoprotein granule","CC",1
"GO:0036477",1,1,30,30,"somatodendritic compartment","CC",1
"GO:0036488",1,1,1,1,"CHOP-C/EBP complex","CC",1
"GO:0038201",1,1,1,1,"TOR complex","CC",1
"GO:0042101",1,1,6,6,"T cell receptor complex","CC",1
"GO:0042105",1,1,1,1,"alpha-beta T cell receptor complex","CC",1
"GO:0042175",1,1,62,62,"nuclear outer membrane-endoplasmic reticulum membrane network","CC",1
"GO:0042272",1,1,1,1,"nuclear RNA export factor complex","CC",1
"GO:0042382",1,1,2,2,"paraspeckles","CC",1
"GO:0042383",1,1,6,6,"sarcolemma","CC",1
"GO:0042405",1,1,2,2,"nuclear inclusion body","CC",1
"GO:0042470",1,1,6,6,"melanosome","CC",1
"GO:0042564",1,1,2,2,"NLS-dependent protein nuclear import complex","CC",1
"GO:0042575",1,1,2,2,"DNA polymerase complex","CC",1
"GO:0042579",1,1,7,7,"microbody","CC",1
"GO:0042581",1,1,12,12,"specific granule","CC",1
"GO:0042582",1,1,13,13,"azurophil granule","CC",1
"GO:0042585",1,1,1,1,"germinal vesicle","CC",1
"GO:0042587",1,1,1,1,"glycogen granule","CC",1
"GO:0042588",1,1,1,1,"zymogen granule","CC",1
"GO:0042599",1,1,2,2,"lamellar body","CC",1
"GO:0042611",1,1,1,1,"MHC protein complex","CC",1
"GO:0042613",1,1,1,1,"MHC class II protein complex","CC",1
"GO:0042622",1,1,1,1,"photoreceptor outer segment membrane","CC",1
"GO:0042641",1,1,7,7,"actomyosin","CC",1
"GO:0042645",1,1,4,4,"mitochondrial nucleoid","CC",1
"GO:0042720",1,1,1,1,"mitochondrial inner membrane peptidase complex","CC",1
"GO:0042734",1,1,5,5,"presynaptic membrane","CC",1
"GO:0042827",1,1,1,1,"platelet dense granule","CC",1
"GO:0042995",1,1,90,90,"cell projection","CC",1
"GO:0043005",1,1,53,53,"neuron projection","CC",1
"GO:0043025",1,1,18,18,"neuronal cell body","CC",1
"GO:0043034",1,1,1,1,"costamere","CC",1
"GO:0043073",1,1,5,5,"germ cell nucleus","CC",1
"GO:0043186",1,1,1,1,"P granule","CC",1
"GO:0043189",1,1,2,2,"H4/H2A histone acetyltransferase complex","CC",1
"GO:0043190",1,1,1,1,"ATP-binding cassette (ABC) transporter complex","CC",1
"GO:0043194",1,1,1,1,"axon initial segment","CC",1
"GO:0043195",1,1,4,4,"terminal bouton","CC",1
"GO:0043197",1,1,9,9,"dendritic spine","CC",1
"GO:0043202",1,1,8,8,"lysosomal lumen","CC",1
